id,scenario,volume,volumecontinu,date
42,Quartier ideal,2,5.985571841,15/10/2023
43,Quartier ideal,5,6.199170576,22/10/2023
44,Quartier ideal,5,6.402504081,29/10/2023
45,Quartier ideal,5,6.594046976,05/11/2023
46,Quartier ideal,2,6.772400625,12/11/2023
47,Quartier ideal,3,6.936293136,19/11/2023
48,Quartier ideal,3,7.084579361,26/11/2023
49,Quartier ideal,5,7.216240896,03/12/2023
50,Quartier ideal,6,7.330386081,10/12/2023
51,Quartier ideal,15,7.42625,17/12/2023
52,Quartier ideal,20,7.503194481,24/12/2023
53,Quartier ideal,22,7.560708096,31/12/2023
54,Quartier ideal,14,7.598406161,07/01/2024
55,Quartier ideal,7,7.616030736,14/01/2024
56,Quartier ideal,5,7.613450625,21/01/2024
57,Quartier ideal,5,7.590661376,28/01/2024
58,Quartier ideal,8,7.547785281,04/02/2024
59,Quartier ideal,10,7.485071376,11/02/2024
60,Quartier ideal,7,7.402895441,18/02/2024
61,Quartier ideal,5,7.30176,25/02/2024
62,Quartier ideal,7,7.182294321,03/03/2024
63,Quartier ideal,8,7.045254416,10/03/2024
64,Quartier ideal,3,6.891523041,17/03/2024
65,Quartier ideal,4,6.722109696,24/03/2024
66,Quartier ideal,4,6.538150625,31/03/2024
67,Quartier ideal,5,6.340908816,07/04/2024
68,Quartier ideal,4,6.131774001,14/04/2024
69,Quartier ideal,5,5.912262656,21/04/2024
70,Quartier ideal,3,5.684018001,28/04/2024
71,Quartier ideal,6,5.44881,05/05/2024
72,Quartier ideal,5,5.208535361,12/05/2024
73,Quartier ideal,3,4.965217536,19/05/2024
74,Quartier ideal,2,4.721006721,26/05/2024
75,Quartier ideal,7,4.478179856,02/06/2024
76,Quartier ideal,3,4.239140625,09/06/2024
77,Quartier ideal,5,4.006419456,16/06/2024
78,Quartier ideal,5,3.782673521,23/06/2024
79,Quartier ideal,4,3.570686736,30/06/2024
80,Quartier ideal,4,3.373369761,07/07/2024
81,Quartier ideal,3,3.19376,14/07/2024
82,Quartier ideal,3,3.035021601,21/07/2024
83,Quartier ideal,4,2.900445456,28/07/2024
84,Quartier ideal,2,2.793449201,04/08/2024
85,Quartier ideal,3,2.717577216,11/08/2024
86,Quartier ideal,1,2.676500625,18/08/2024
87,Quartier ideal,2,2.674017296,25/08/2024
88,Quartier ideal,5,2.714051841,01/09/2024
89,Quartier ideal,7,2.800655616,08/09/2024
90,Quartier ideal,3,2.938006721,15/09/2024
91,Quartier ideal,3,3.13041,22/09/2024
92,Quartier ideal,7,3.382297041,29/09/2024
93,Quartier ideal,2,3.698226176,06/10/2024
94,Quartier ideal,5,4.082882481,13/10/2024
95,Quartier ideal,6,4.541077776,20/10/2024
96,Quartier ideal,5,5.077750625,27/10/2024
97,Quartier ideal,6,5.697966336,03/11/2024
98,Quartier ideal,13,6.406916961,10/11/2024
99,Quartier ideal,10,7.209921296,17/11/2024
100,Quartier ideal,5,8.112424881,24/11/2024
101,Quartier ideal,6,9.12,01/12/2024
102,Quartier ideal,7,10.23834568,08/12/2024
103,Quartier ideal,9,11.4732877,15/12/2024
104,Quartier ideal,15,12.83077856,22/12/2024
105,Quartier ideal,22,14.31689754,29/12/2024
106,Quartier insalubre,300,201.2,01/01/2023
107,Quartier insalubre,252,211.6598204,08/01/2023
108,Quartier insalubre,198,214.2265276,15/01/2023
109,Quartier insalubre,159,210.8648154,22/01/2023
110,Quartier insalubre,143,203.2815577,29/01/2023
111,Quartier insalubre,134,192.9463471,05/02/2023
112,Quartier insalubre,112,181.111077,12/02/2023
113,Quartier insalubre,120,168.8285865,19/02/2023
114,Quartier insalubre,125,156.9703896,26/02/2023
115,Quartier insalubre,130,146.2435082,05/03/2023
116,Quartier insalubre,138,137.20643,12/03/2023
117,Quartier insalubre,142,130.2842112,19/03/2023
118,Quartier insalubre,146,125.7827442,26/03/2023
119,Quartier insalubre,150,123.9022117,02/04/2023
120,Quartier insalubre,163,124.7497461,09/04/2023
121,Quartier insalubre,168,128.3513157,16/04/2023
122,Quartier insalubre,173,134.6628579,23/04/2023
123,Quartier insalubre,178,143.5806793,30/04/2023
124,Quartier insalubre,176,154.9511433,07/05/2023
125,Quartier insalubre,177,168.5796659,14/05/2023
126,Quartier insalubre,183,184.23904,21/05/2023
127,Quartier insalubre,194,201.6771077,28/05/2023
128,Quartier insalubre,200,220.6238023,04/06/2023
129,Quartier insalubre,230,240.7975796,11/06/2023
130,Quartier insalubre,240,261.9112591,18/06/2023
131,Quartier insalubre,270,283.6772949,25/06/2023
132,Quartier insalubre,311,305.8124981,02/07/2023
133,Quartier insalubre,434,328.0422292,09/07/2023
134,Quartier insalubre,509,350.1040825,16/07/2023
135,Quartier insalubre,676,371.7510822,23/07/2023
136,Quartier insalubre,783,392.75441,30/07/2023
137,Quartier insalubre,602,412.9056857,06/08/2023
138,Quartier insalubre,507,432.0188207,13/08/2023
139,Quartier insalubre,412,449.9314642,20/08/2023
140,Quartier insalubre,385,466.5060636,27/08/2023
141,Quartier insalubre,352,481.6305585,03/09/2023
142,Quartier insalubre,337,495.2187291,10/09/2023
143,Quartier insalubre,336,507.2102195,17/09/2023
144,Quartier insalubre,345,517.5702558,24/09/2023
145,Quartier insalubre,358,526.2890801,01/10/2023
146,Quartier insalubre,368,533.38112,08/10/2023
147,Quartier insalubre,374,538.8839143,15/10/2023
148,Quartier insalubre,389,542.8568159,22/10/2023
149,Quartier insalubre,399,545.3794908,29/10/2023
150,Quartier insalubre,410,546.5502353,05/11/2023
151,Quartier insalubre,512,546.4841302,12/11/2023
152,Quartier insalubre,620,545.311054,19/11/2023
153,Quartier insalubre,723,543.1735734,26/11/2023
154,Quartier insalubre,636,540.2247341,03/12/2023
155,Quartier insalubre,644,536.6257695,10/12/2023
156,Quartier insalubre,753,532.54375,17/12/2023
157,Quartier insalubre,870,528.1491917,24/12/2023
158,Quartier insalubre,985,523.613646,31/12/2023
159,Quartier insalubre,880,519.1072894,07/01/2024
160,Quartier insalubre,740,514.7965346,14/01/2024
161,Quartier insalubre,700,510.8416838,21/01/2024
162,Quartier insalubre,590,507.3946427,28/01/2024
163,Quartier insalubre,550,504.5967175,04/02/2024
164,Quartier insalubre,520,502.5765146,11/02/2024
165,Quartier insalubre,513,501.4479629,18/02/2024
166,Quartier insalubre,522,501.30848,25/02/2024
167,Quartier insalubre,524,502.2373014,03/03/2024
168,Quartier insalubre,528,504.2939947,10/03/2024
169,Quartier insalubre,538,507.517178,17/03/2024
170,Quartier insalubre,548,511.9234629,24/03/2024
171,Quartier insalubre,553,517.506643,31/03/2024
172,Quartier insalubre,564,524.2371485,07/04/2024
173,Quartier insalubre,573,532.061786,14/04/2024
174,Quartier insalubre,630,540.903785,21/04/2024
175,Quartier insalubre,643,550.6631719,28/04/2024
176,Quartier insalubre,650,561.21749,05/05/2024
177,Quartier insalubre,657,572.4228879,12/05/2024
178,Quartier insalubre,680,584.1155953,19/05/2024
179,Quartier insalubre,687,596.1138075,26/05/2024
180,Quartier insalubre,709,608.2199982,02/06/2024
181,Quartier insalubre,730,620.2236816,09/06/2024
182,Quartier insalubre,746,631.904644,16/06/2024
183,Quartier insalubre,753,643.0366646,23/06/2024
184,Quartier insalubre,769,653.3917474,30/06/2024
185,Quartier insalubre,875,662.7448825,07/07/2024
186,Quartier insalubre,972,670.87936,14/07/2024
187,Quartier insalubre,1020,677.5926531,21/07/2024
188,Quartier insalubre,1045,682.7028946,28/07/2024
189,Quartier insalubre,1102,686.0559647,04/08/2024
190,Quartier insalubre,1200,687.5332113,11/08/2024
191,Quartier insalubre,1304,687.0598234,18/08/2024
192,Quartier insalubre,1200,684.6138768,25/08/2024
193,Quartier insalubre,1000,680.236075,01/09/2024
194,Quartier insalubre,980,674.0402022,08/09/2024
195,Quartier insalubre,963,666.224312,15/09/2024
196,Quartier insalubre,933,657.08267,22/09/2024
197,Quartier insalubre,940,647.018472,29/09/2024
198,Quartier insalubre,950,636.5573571,06/10/2024
199,Quartier insalubre,980,626.3617372,13/10/2024
200,Quartier insalubre,945,617.2459621,20/10/2024
201,Quartier insalubre,999,610.192342,27/10/2024
202,Quartier insalubre,1012,606.3680458,03/11/2024
203,Quartier insalubre,1022,607.142898,10/11/2024
204,Quartier insalubre,1030,614.1080924,17/11/2024
205,Quartier insalubre,1145,629.095844,24/11/2024
206,Quartier insalubre,1265,654.2,01/12/2024
207,Quartier insalubre,1350,691.7976289,08/12/2024
208,Quartier insalubre,1434,744.5716089,15/12/2024
209,Quartier insalubre,1560,815.5342367,22/12/2024
210,Quartier insalubre,1620,908.0518749,29/12/2024
211,Zone avec discotheque,409,613.3,01/01/2023
212,Zone avec discotheque,409,497.8291443,08/01/2023
213,Zone avec discotheque,386,404.3326603,15/01/2023
214,Zone avec discotheque,386,329.6428193,22/01/2023
215,Zone avec discotheque,227,270.917503,29/01/2023
216,Zone avec discotheque,227,225.6177674,05/02/2023
217,Zone avec discotheque,130,191.4863411,12/02/2023
218,Zone avec discotheque,130,166.5270419,19/02/2023
219,Zone avec discotheque,98,148.9850937,26/02/2023
220,Zone avec discotheque,98,137.3283248,05/03/2023
221,Zone avec discotheque,107,130.22923,12/03/2023
222,Zone avec discotheque,107,126.5478787,19/03/2023
223,Zone avec discotheque,151,125.3156504,26/03/2023
224,Zone avec discotheque,151,125.7197806,02/04/2023
225,Zone avec discotheque,117,127.0886975,09/04/2023
226,Zone avec discotheque,117,128.8781329,16/04/2023
227,Zone avec discotheque,124,130.6579888,23/04/2023
228,Zone avec discotheque,124,132.0999412,30/04/2023
229,Zone avec discotheque,115,132.9657641,07/05/2023
230,Zone avec discotheque,115,133.0963543,14/05/2023
231,Zone avec discotheque,135,132.40144,21/05/2023
232,Zone avec discotheque,135,130.8499556,28/05/2023
233,Zone avec discotheque,113,128.4610626,04/06/2023
234,Zone avec discotheque,113,125.2958015,11/06/2023
235,Zone avec discotheque,96,121.4493533,18/06/2023
236,Zone avec discotheque,96,117.0438965,25/06/2023
237,Zone avec discotheque,121,112.2220374,02/07/2023
238,Zone avec discotheque,121,107.1407993,09/07/2023
239,Zone avec discotheque,146,101.9661499,16/07/2023
240,Zone avec discotheque,146,96.86805092,23/07/2023
241,Zone avec discotheque,183,92.01601,30/07/2023
242,Zone avec discotheque,183,87.5751186,06/08/2023
243,Zone avec discotheque,146,83.70255666,13/08/2023
244,Zone avec discotheque,146,80.54454655,20/08/2023
245,Zone avec discotheque,29,78.23373813,27/08/2023
246,Zone avec discotheque,29,76.88700695,03/09/2023
247,Zone avec discotheque,71,76.60364743,10/09/2023
248,Zone avec discotheque,71,77.46394317,17/09/2023
249,Zone avec discotheque,44,79.52809627,24/09/2023
250,Zone avec discotheque,44,82.83549758,01/10/2023
251,Zone avec discotheque,149,87.40432,08/10/2023
252,Zone avec discotheque,149,93.2314166,15/10/2023
253,Zone avec discotheque,112,100.2925058,22/10/2023
254,Zone avec discotheque,112,108.5426251,29/10/2023
255,Zone avec discotheque,21,117.9168364,05/11/2023
256,Zone avec discotheque,21,128.331163,12/11/2023
257,Zone avec discotheque,142,139.6837425,19/11/2023
258,Zone avec discotheque,142,151.8561758,26/11/2023
259,Zone avec discotheque,70,164.7150549,03/12/2023
260,Zone avec discotheque,70,178.1136519,10/12/2023
261,Zone avec discotheque,86,191.89375,17/12/2023
262,Zone avec discotheque,86,205.8875996,24/12/2023
263,Zone avec discotheque,224,219.9199809,31/12/2023
264,Zone avec discotheque,224,233.8103549,07/01/2024
265,Zone avec discotheque,313,247.3750855,14/01/2024
266,Zone avec discotheque,313,260.4297135,21/01/2024
267,Zone avec discotheque,432,272.7912656,28/01/2024
268,Zone avec discotheque,432,284.2805795,04/02/2024
269,Zone avec discotheque,439,294.7246279,11/02/2024
270,Zone avec discotheque,439,303.9588223,18/02/2024
271,Zone avec discotheque,418,311.82928,25/02/2024
272,Zone avec discotheque,418,318.1950348,03/03/2024
273,Zone avec discotheque,379,322.9301744,10/03/2024
274,Zone avec discotheque,379,325.9258858,17/03/2024
275,Zone avec discotheque,374,327.0923914,24/03/2024
276,Zone avec discotheque,374,326.3607571,31/03/2024
277,Zone avec discotheque,306,323.6845547,07/04/2024
278,Zone avec discotheque,306,319.0413604,14/04/2024
279,Zone avec discotheque,303,312.4340717,21/04/2024
280,Zone avec discotheque,303,303.892024,28/04/2024
281,Zone avec discotheque,298,293.47189,05/05/2024
282,Zone avec discotheque,298,281.2583427,12/05/2024
283,Zone avec discotheque,89,267.3644645,19/05/2024
284,Zone avec discotheque,89,251.9318843,26/05/2024
285,Zone avec discotheque,69,235.130625,02/06/2024
286,Zone avec discotheque,69,217.1586426,09/06/2024
287,Zone avec discotheque,62,198.2410392,16/06/2024
288,Zone avec discotheque,62,178.6289321,23/06/2024
289,Zone avec discotheque,109,158.5979612,30/06/2024
290,Zone avec discotheque,109,138.446415,07/07/2024
291,Zone avec discotheque,25,118.49296,14/07/2024
292,Zone avec discotheque,25,99.07395288,21/07/2024
293,Zone avec discotheque,30,80.54031874,28/07/2024
294,Zone avec discotheque,30,63.25397718,04/08/2024
295,Zone avec discotheque,116,47.583798,11/08/2024
296,Zone avec discotheque,116,33.90106867,18/08/2024
297,Zone avec discotheque,130,22.57445539,25/08/2024
298,Zone avec discotheque,130,13.96443988,01/09/2024
299,Zone avec discotheque,134,8.41721368,08/09/2024
300,Zone avec discotheque,134,6.258012168,15/09/2024
301,Zone avec discotheque,121,7.78387,22/09/2024
302,Zone avec discotheque,121,13.25578017,29/09/2024
303,Zone avec discotheque,29,22.89023851,06/10/2024
304,Zone avec discotheque,29,36.85015575,13/10/2024
305,Zone avec discotheque,61,55.23511889,20/10/2024
306,Zone avec discotheque,61,78.07098414,27/10/2024
307,Zone avec discotheque,46,105.2987831,03/11/2024
308,Zone avec discotheque,46,136.7629245,10/11/2024
309,Zone avec discotheque,126,172.1986728,17/11/2024
310,Zone avec discotheque,126,211.2188871,24/11/2024
311,Zone avec discotheque,369,253.3,01/12/2024
312,Zone avec discotheque,369,297.7672206,08/12/2024
313,Zone avec discotheque,469,343.7789427,15/12/2024
314,Zone avec discotheque,469,390.3103396,22/12/2024
315,Zone avec discotheque,540,436.1361289,29/12/2024
316,Zone en chantier,0,579.4,01/01/2023
317,Zone en chantier,1422,670.1056797,08/01/2023
318,Zone en chantier,1737,754.0963152,15/01/2023
319,Zone en chantier,604,831.5997757,22/01/2023
320,Zone en chantier,511,902.8405632,29/01/2023
321,Zone en chantier,697,968.0398125,05/02/2023
322,Zone en chantier,816,1027.415291,12/02/2023
323,Zone en chantier,720,1081.1814,19/02/2023
324,Zone en chantier,1166,1129.549171,26/02/2023
325,Zone en chantier,1254,1172.726272,05/03/2023
326,Zone en chantier,1905,1210.917,12/03/2023
327,Zone en chantier,1017,1244.322288,19/03/2023
328,Zone en chantier,1946,1273.139699,26/03/2023
329,Zone en chantier,1000,1297.563432,02/04/2023
330,Zone en chantier,944,1317.784315,09/04/2023
331,Zone en chantier,1347,1333.989813,16/04/2023
332,Zone en chantier,1736,1346.364019,23/04/2023
333,Zone en chantier,1898,1355.087664,30/04/2023
334,Zone en chantier,1921,1360.338107,07/05/2023
335,Zone en chantier,1695,1362.289344,14/05/2023
336,Zone en chantier,810,1361.112,21/05/2023
337,Zone en chantier,994,1356.973336,28/05/2023
338,Zone en chantier,142,1350.037243,04/06/2023
339,Zone en chantier,793,1340.464248,11/06/2023
340,Zone en chantier,172,1328.411507,18/06/2023
341,Zone en chantier,655,1314.032813,25/06/2023
342,Zone en chantier,1626,1297.478587,02/07/2023
343,Zone en chantier,1030,1278.895888,09/07/2023
344,Zone en chantier,1508,1258.428403,16/07/2023
345,Zone en chantier,1466,1236.216456,23/07/2023
346,Zone en chantier,1751,1212.397,30/07/2023
347,Zone en chantier,1463,1187.103624,06/08/2023
348,Zone en chantier,970,1160.466547,13/08/2023
349,Zone en chantier,978,1132.612624,20/08/2023
350,Zone en chantier,861,1103.665339,27/08/2023
351,Zone en chantier,955,1073.744813,03/09/2023
352,Zone en chantier,1324,1042.967795,10/09/2023
353,Zone en chantier,1294,1011.447672,17/09/2023
354,Zone en chantier,1047,979.2944592,24/09/2023
355,Zone en chantier,1267,946.6148077,01/10/2023
356,Zone en chantier,1319,913.512,08/10/2023
357,Zone en chantier,1183,880.0859517,15/10/2023
358,Zone en chantier,1090,846.4332112,22/10/2023
359,Zone en chantier,888,812.6469597,29/10/2023
360,Zone en chantier,860,778.8170112,05/11/2023
361,Zone en chantier,756,745.0298125,12/11/2023
362,Zone en chantier,743,711.3684432,19/11/2023
363,Zone en chantier,125,677.9126157,26/11/2023
364,Zone en chantier,430,644.7386752,03/12/2023
365,Zone en chantier,478,611.9195997,10/12/2023
366,Zone en chantier,534,579.525,17/12/2023
367,Zone en chantier,412,547.6211197,24/12/2023
368,Zone en chantier,403,516.2708352,31/12/2023
369,Zone en chantier,201,485.5336557,07/01/2024
370,Zone en chantier,195,455.4657232,14/01/2024
371,Zone en chantier,187,426.1198125,21/01/2024
372,Zone en chantier,176,397.5453312,28/01/2024
373,Zone en chantier,154,369.7883197,04/02/2024
374,Zone en chantier,148,342.8914512,11/02/2024
375,Zone en chantier,225,316.8940317,18/02/2024
376,Zone en chantier,270,291.832,25/02/2024
377,Zone en chantier,213,267.7379277,03/03/2024
378,Zone en chantier,195,244.6410192,10/03/2024
379,Zone en chantier,184,222.5671117,17/03/2024
380,Zone en chantier,67,201.5386752,24/03/2024
381,Zone en chantier,68,181.5748125,31/03/2024
382,Zone en chantier,69,162.6912592,07/04/2024
383,Zone en chantier,53,144.9003837,14/04/2024
384,Zone en chantier,54,128.2111872,21/04/2024
385,Zone en chantier,52,112.6293037,28/04/2024
386,Zone en chantier,48,98.157,05/05/2024
387,Zone en chantier,40,84.7931757,12/05/2024
388,Zone en chantier,39,72.5333632,19/05/2024
389,Zone en chantier,46,61.3697277,26/05/2024
390,Zone en chantier,53,51.2910672,02/06/2024
391,Zone en chantier,57,42.2828125,09/06/2024
392,Zone en chantier,41,34.3270272,16/06/2024
393,Zone en chantier,36,27.4024077,23/06/2024
394,Zone en chantier,22,21.4842832,30/06/2024
395,Zone en chantier,18,16.5446157,07/07/2024
396,Zone en chantier,10,12.552,14/07/2024
397,Zone en chantier,0,9.4716637,21/07/2024
398,Zone en chantier,0,7.2654672,28/07/2024
399,Zone en chantier,0,5.8919037,04/08/2024
400,Zone en chantier,0,5.3060992,11/08/2024
401,Zone en chantier,0,5.4598125,18/08/2024
402,Zone en chantier,0,6.3014352,25/08/2024
403,Zone en chantier,0,7.7759917,01/09/2024
404,Zone en chantier,0,9.8251392,08/09/2024
405,Zone en chantier,0,12.3871677,15/09/2024
406,Zone en chantier,10,15.397,22/09/2024
407,Zone en chantier,16,18.7861917,29/09/2024
408,Zone en chantier,5,22.4829312,06/10/2024
409,Zone en chantier,25,26.4120397,13/10/2024
410,Zone en chantier,63,30.4949712,20/10/2024
411,Zone en chantier,72,34.6498125,27/10/2024
412,Zone en chantier,43,38.7912832,03/11/2024
413,Zone en chantier,36,42.8307357,10/11/2024
414,Zone en chantier,5,46.6761552,17/11/2024
415,Zone en chantier,0,50.2321597,24/11/2024
416,Zone en chantier,0,53.4,01/12/2024
417,Zone en chantier,0,56.0775597,08/12/2024
418,Zone en chantier,0,58.1593552,15/12/2024
419,Zone en chantier,0,59.5365357,22/12/2024
420,Zone en chantier,0,60.0968832,29/12/2024
421,Demenagements,318,739.4,01/01/2023
422,Demenagements,335,707.1763184,08/01/2023
423,Demenagements,315,675.1320222,15/01/2023
424,Demenagements,330,645.1340906,22/01/2023
425,Demenagements,326,618.67546,29/01/2023
426,Demenagements,260,596.9111227,05/02/2023
427,Demenagements,258,580.6923571,12/02/2023
428,Demenagements,233,570.5991337,19/02/2023
429,Demenagements,263,566.9707359,26/02/2023
430,Demenagements,336,569.9346407,05/03/2023
431,Demenagements,387,579.4337,12/03/2023
432,Demenagements,500,595.2516649,19/03/2023
433,Demenagements,337,617.037095,26/03/2023
434,Demenagements,242,644.3256958,02/04/2023
435,Demenagements,230,676.5611251,09/04/2023
436,Demenagements,211,713.1143117,16/04/2023
437,Demenagements,290,753.3013276,23/04/2023
438,Demenagements,277,796.399857,30/04/2023
439,Demenagements,685,841.6643028,07/05/2023
440,Demenagements,477,888.3395749,14/05/2023
441,Demenagements,529,935.6736,21/05/2023
442,Demenagements,459,982.9285971,28/05/2023
443,Demenagements,923,1029.39116,04/06/2023
444,Demenagements,839,1074.381188,11/06/2023
445,Demenagements,917,1117.259711,18/06/2023
446,Demenagements,937,1157.435645,25/06/2023
447,Demenagements,1151,1194.371523,02/07/2023
448,Demenagements,978,1227.58825,09/07/2023
449,Demenagements,978,1256.668911,16/07/2023
450,Demenagements,992,1281.261684,23/07/2023
451,Demenagements,1121,1301.0819,30/07/2023
452,Demenagements,932,1315.913285,06/08/2023
453,Demenagements,957,1325.608436,13/08/2023
454,Demenagements,1021,1330.088565,20/08/2023
455,Demenagements,930,1329.342557,27/08/2023
456,Demenagements,923,1323.425384,03/09/2023
457,Demenagements,980,1312.455914,10/09/2023
458,Demenagements,916,1296.614167,17/09/2023
459,Demenagements,966,1276.138044,24/09/2023
460,Demenagements,726,1251.319587,01/10/2023
461,Demenagements,897,1222.5008,08/10/2023
462,Demenagements,799,1190.069086,15/10/2023
463,Demenagements,707,1154.452327,22/10/2023
464,Demenagements,867,1116.113661,29/10/2023
465,Demenagements,340,1075.545995,05/11/2023
466,Demenagements,311,1033.266291,12/11/2023
467,Demenagements,396,989.8096802,19/11/2023
468,Demenagements,337,945.7234253,26/11/2023
469,Demenagements,617,901.5608011,03/12/2023
470,Demenagements,622,857.8749118,10/12/2023
471,Demenagements,609,815.2125,17/12/2023
472,Demenagements,665,774.107786,24/12/2023
473,Demenagements,679,735.0763793,31/12/2023
474,Demenagements,349,698.6093047,07/01/2024
475,Demenagements,343,665.1671864,14/01/2024
476,Demenagements,330,635.1746305,21/01/2024
477,Demenagements,312,609.0148487,28/01/2024
478,Demenagements,260,587.0245667,04/02/2024
479,Demenagements,215,569.4892571,11/02/2024
480,Demenagements,257,556.6387412,18/02/2024
481,Demenagements,285,548.6432,25/02/2024
482,Demenagements,375,545.6096387,03/03/2024
483,Demenagements,446,547.5788447,10/03/2024
484,Demenagements,305,554.5228825,17/03/2024
485,Demenagements,422,566.343168,24/03/2024
486,Demenagements,431,582.8691633,31/03/2024
487,Demenagements,214,603.8577347,07/04/2024
488,Demenagements,234,628.9932168,14/04/2024
489,Demenagements,329,657.8882234,21/04/2024
490,Demenagements,278,690.0852486,28/04/2024
491,Demenagements,611,725.0591,05/05/2024
492,Demenagements,428,762.2202058,12/05/2024
493,Demenagements,643,800.9188382,19/05/2024
494,Demenagements,533,840.4502959,26/05/2024
495,Demenagements,860,880.0610865,02/06/2024
496,Demenagements,878,918.9561523,09/06/2024
497,Demenagements,991,956.3071814,16/06/2024
498,Demenagements,816,991.2620454,23/06/2024
499,Demenagements,821,1022.955407,30/06/2024
500,Demenagements,1115,1050.52054,07/07/2024
501,Demenagements,1192,1073.1024,14/07/2024
502,Demenagements,1150,1089.871997,21/07/2024
503,Demenagements,1073,1100.042099,28/07/2024
504,Demenagements,1001,1102.884323,04/08/2024
505,Demenagements,950,1097.747641,11/08/2024
506,Demenagements,904,1084.07836,18/08/2024
507,Demenagements,1100,1061.4416,25/08/2024
508,Demenagements,957,1029.544326,01/09/2024
509,Demenagements,946,988.2599715,08/09/2024
510,Demenagements,954,937.6546924,15/09/2024
511,Demenagements,909,878.0153,22/09/2024
512,Demenagements,926,809.8789097,29/09/2024
513,Demenagements,777,734.0643505,06/10/2024
514,Demenagements,733,651.7053764,13/10/2024
515,Demenagements,830,564.2857229,20/10/2024
516,Demenagements,780,473.6760492,27/10/2024
517,Demenagements,386,382.1728098,03/11/2024
518,Demenagements,316,292.5390969,10/11/2024
519,Demenagements,323,208.0474958,17/11/2024
520,Demenagements,346,132.5249962,24/11/2024
521,Demenagements,634,70.4,01/12/2024
522,Demenagements,658,26.75147,08/12/2024
523,Demenagements,635,7.360259568,15/12/2024
524,Demenagements,680,18.76266689,22/12/2024
525,Demenagements,676,68.30625528,29/12/2024
526,Abords autoroute,120,118.4,01/01/2023
527,Abords autoroute,110,116.8835003,08/01/2023
528,Abords autoroute,108,115.4519796,15/01/2023
529,Abords autoroute,110,114.1024438,22/01/2023
530,Abords autoroute,103,112.8319496,29/01/2023
531,Abords autoroute,94,111.637605,05/02/2023
532,Abords autoroute,99,110.5165691,12/02/2023
533,Abords autoroute,92,109.4660519,19/02/2023
534,Abords autoroute,109,108.4833147,26/02/2023
535,Abords autoroute,109,107.5656696,05/03/2023
536,Abords autoroute,97,106.71048,12/03/2023
537,Abords autoroute,102,105.9151602,19/03/2023
538,Abords autoroute,103,105.1771758,26/03/2023
539,Abords autoroute,101,104.4940432,02/04/2023
540,Abords autoroute,107,103.86333,09/04/2023
541,Abords autoroute,90,103.282655,16/04/2023
542,Abords autoroute,110,102.7496878,23/04/2023
543,Abords autoroute,99,102.2621493,30/04/2023
544,Abords autoroute,96,101.8178113,07/05/2023
545,Abords autoroute,95,101.4144969,14/05/2023
546,Abords autoroute,101,101.05008,21/05/2023
547,Abords autoroute,93,100.7224858,28/05/2023
548,Abords autoroute,100,100.4296904,04/06/2023
549,Abords autoroute,95,100.169721,11/06/2023
550,Abords autoroute,95,99.94065613,18/06/2023
551,Abords autoroute,108,99.740625,25/06/2023
552,Abords autoroute,92,99.56780813,02/07/2023
553,Abords autoroute,93,99.42043705,09/07/2023
554,Abords autoroute,101,99.29679437,16/07/2023
555,Abords autoroute,93,99.19521377,23/07/2023
556,Abords autoroute,106,99.11408,30/07/2023
